MemberID,FirstName,LastName,PhoneNumber,Email,CurRentals
M0001,Michael,Jones,641-931-9686,MichaelJones@gmail.com,0
M0002,John,Rodriguez,510-515-5059,JohnRodriguez@gmail.com,0
M0003,Emily,Garcia,103-913-5977,EmilyGarcia@gmail.com,0
M0004,Katie,Brown,739-419-6448,KatieBrown@gmail.com,0
M0005,John,Brown,559-871-8808,JohnBrown@gmail.com,0
M0006,Katie,Garcia,403-163-2212,KatieGarcia@gmail.com,0
M0007,Michael,Jones,196-234-2261,MichaelJones@gmail.com,1
M0008,John,Williams,111-690-8919,JohnWilliams@gmail.com,0
M0009,Katie,Jones,989-857-1319,KatieJones@gmail.com,0
M0010,John,Martinez,549-522-7421,JohnMartinez@gmail.com,1
M0011,Jane,Williams,865-883-2292,JaneWilliams@gmail.com,0
M0012,Chris,Rodriguez,270-238-9874,ChrisRodriguez@gmail.com,0
M0013,Chris,Miller,931-501-7066,ChrisMiller@gmail.com,0
M0014,Alex,Williams,146-415-7005,AlexWilliams@gmail.com,0
M0015,Alex,Rodriguez,733-200-3918,AlexRodriguez@gmail.com,0
M0016,Michael,Miller,749-866-2714,MichaelMiller@gmail.com,0
M0017,Chris,Garcia,290-703-7291,ChrisGarcia@gmail.com,0
M0018,Emily,Smith,396-168-8395,EmilySmith@gmail.com,0
M0019,Katie,Rodriguez,315-548-1592,KatieRodriguez@gmail.com,0
M0020,Michael,Johnson,173-924-3096,MichaelJohnson@gmail.com,1
M0021,Katie,Jones,618-840-7810,KatieJones@gmail.com,0
M0022,Matthew,Johnson,695-108-5879,MatthewJohnson@gmail.com,0
M0023,Chris,Rodriguez,840-287-2081,ChrisRodriguez@gmail.com,0
M0024,Laura,Miller,971-778-4001,LauraMiller@gmail.com,0
M0025,Emily,Jones,624-559-8691,EmilyJones@gmail.com,0
M0026,Michael,Martinez,178-780-5298,MichaelMartinez@gmail.com,0
M0027,Alex,Davis,724-889-1717,AlexDavis@gmail.com,0
M0028,Jane,Brown,873-176-6811,JaneBrown@gmail.com,0
M0029,Matthew,Smith,223-474-3613,MatthewSmith@gmail.com,0
M0030,Laura,Williams,928-866-4095,LauraWilliams@gmail.com,0
M0031,David,Garcia,572-530-1429,DavidGarcia@gmail.com,1
M0032,Jane,Davis,652-226-7360,JaneDavis@gmail.com,0
M0033,Chris,Brown,274-943-6359,ChrisBrown@gmail.com,0
M0034,Katie,Miller,420-255-5215,KatieMiller@gmail.com,0
M0035,Matthew,Brown,777-728-2138,MatthewBrown@gmail.com,0
M0036,Michael,Davis,396-610-3744,MichaelDavis@gmail.com,0
M0037,Katie,Martinez,318-641-9558,KatieMartinez@gmail.com,0
M0038,Alex,Smith,496-834-6059,AlexSmith@gmail.com,0
M0039,Alex,Brown,733-588-8676,AlexBrown@gmail.com,1
M0040,Matthew,Rodriguez,474-359-4595,MatthewRodriguez@gmail.com,1
M0041,Jane,Martinez,405-671-1905,JaneMartinez@gmail.com,0
M0042,Chris,Rodriguez,262-600-3341,ChrisRodriguez@gmail.com,0
M0043,David,Smith,667-478-6649,DavidSmith@gmail.com,0
M0044,Jane,Williams,860-770-2710,JaneWilliams@gmail.com,0
M0045,Matthew,Davis,925-816-6727,MatthewDavis@gmail.com,0
M0046,Chris,Miller,521-396-7462,ChrisMiller@gmail.com,0
M0047,Emily,Smith,820-179-1057,EmilySmith@gmail.com,0
M0048,Chris,Brown,192-900-8314,ChrisBrown@gmail.com,0
M0049,Michael,Davis,987-165-1290,MichaelDavis@gmail.com,0
M0050,Chris,Rodriguez,412-414-2082,ChrisRodriguez@gmail.com,0
